city_id,name,n_box,n_voter
16,YILDIRIM,1291,475551
17,AYVACIK,129,28254
17,BAYRAMİÇ,117,23855
17,BİGA,268,72806
17,BOZCAADA,8,2691
17,ÇAN,151,38255
17,ÇANAKKALE MERKEZ,439,145772
17,ECEABAT,28,7387
17,EZİNE,100,25223
17,GELİBOLU,111,34834
17,GÖKÇEADA,28,7764
17,LAPSEKİ,93,23638
17,YENİCE,119,25534
18,ATKARACALAR,20,3287
18,BAYRAMÖREN,30,2190
18,ÇANKIRI MERKEZ,218,65554
18,ÇERKEŞ,78,12774
18,ELDİVAN,27,5211
18,ILGAZ,95,11538
18,KIZILIRMAK,33,5866
18,KORGUN,19,3330
18,KURŞUNLU,45,6826
18,ORTA,49,9675
18,ŞABANÖZÜ,41,9074
18,YAPRAKLI,46,6535
19,ALACA,146,23193
19,BAYAT,74,11834
19,BOĞAZKALE,20,3043
19,ÇORUM MERKEZ,756,218094
19,DODURGA,22,4560
19,İSKİLİP,121,24157
19,KARGI,79,13519
19,LAÇİN,19,3494
19,MECİTÖZÜ,68,11845
19,OĞUZLAR,16,4167
19,ORTAKÖY,26,5183
19,OSMANCIK,142,33800
19,SUNGURLU,180,36643
19,UĞURLUDAĞ,29,5033
20,ACIPAYAM,149,44082
20,BABADAĞ,19,5019
20,BAKLAN,17,4383
20,BEKİLLİ,22,5518
20,BEYAĞAÇ,22,5090
20,BOZKURT,35,8569
20,BULDAN,80,21173
20,ÇAL,64,14841
20,ÇAMELİ,53,14876
20,ÇARDAK,25,6744
20,ÇİVRİL,167,46338
20,GÜNEY,35,7908
20,HONAZ,72,22232
20,KALE,57,15039
20,MERKEZEFENDİ,694,250208
20,PAMUKKALE,710,253514
20,SARAYKÖY,81,23736
20,SERİNHİSAR,35,11284
20,TAVAS,122,34160
21,BAĞLAR,714,254385
21,BİSMİL,274,74110
21,ÇERMİK,133,31759
21,ÇINAR,166,43549
21,ÇÜNGÜŞ,46,7483
21,DİCLE,90,23603
21,EĞİL,53,14232
21,ERGANİ,294,87937
21,HANİ,67,20133
21,HAZRO,42,10033
21,KAYAPINAR,758,270566
21,KOCAKÖY,38,9861
21,KULP,94,23021
21,LİCE,80,17836
21,SİLVAN,192,54318
21,SUR,221,59860
21,YENİŞEHİR,411,141847
22,EDİRNE MERKEZ,395,138323
22,ENEZ,35,8992
22,HAVSA,54,15367
22,İPSALA,71,21255
22,KEŞAN,208,65669
22,LALAPAŞA,31,5284
22,MERİÇ,43,11155
22,SÜLOĞLU,19,5030
22,UZUNKÖPRÜ,164,48708
23,AĞIN,23,2219
23,ALACAKAYA,22,4640
23,ARICAK,38,9517
